repository,file,commits,distinct_authors,lines_added,lines_removed,churn,file_age_days,days_since_change
NationalSecurityAgency/datawave-authorization-service,api\src\main\java\datawave\security\authorization\CachedDatawaveUserService.java,1,1,49,0,49,0,2881
NationalSecurityAgency/datawave-authorization-service,api\src\main\java\datawave\security\authorization\CloseableLoginContext.java,2,2,39,1,40,1483,1397
NationalSecurityAgency/datawave-authorization-service,api\src\main\java\datawave\security\authorization\DatawaveUser.java,6,3,160,12,172,2191,689
NationalSecurityAgency/datawave-authorization-service,api\src\main\java\datawave\security\authorization\DatawaveUserInfo.java,4,2,93,3,96,2191,689
NationalSecurityAgency/datawave-authorization-service,api\src\main\java\datawave\security\authorization\DatawaveUserService.java,1,1,19,0,19,0,2881
NationalSecurityAgency/datawave-authorization-service,api\src\main\java\datawave\security\authorization\JWTTokenHandler.java,5,3,186,30,216,1804,1077
NationalSecurityAgency/datawave-authorization-service,api\src\main\java\datawave\security\authorization\SubjectIssuerDNPair.java,4,2,83,3,86,2191,689
NationalSecurityAgency/datawave-authorization-service,api\src\main\java\datawave\security\util\ProxiedEntityUtils.java,2,2,149,6,155,1804,1077
NationalSecurityAgency/datawave-authorization-service,api\src\test\java\datawave\security\util\ProxiedEntityUtilsTest.java,5,4,62,7,69,1804,1077
NationalSecurityAgency/datawave-authorization-service,service\src\main\java\datawave\microservice\authorization\event\listener\AuthorizationEvictionEventListener.java,3,2,55,1,56,1359,1077
NationalSecurityAgency/datawave-authorization-service,api\src\main\java\datawave\security\authorization\OAuthConstants.java,1,1,20,0,20,0,2096
NationalSecurityAgency/datawave-authorization-service,api\src\main\java\datawave\security\authorization\OAuthTokenResponse.java,4,4,81,8,89,643,1452
NationalSecurityAgency/datawave-authorization-service,api\src\main\java\datawave\security\authorization\OAuthUserInfo.java,2,2,42,7,49,643,1452
NationalSecurityAgency/datawave-authorization-service,service\src\main\java\datawave\microservice\authorization\OAuthOperations.java,1,1,230,0,230,0,2096
NationalSecurityAgency/datawave-authorization-service,service\src\main\java\datawave\microservice\authorization\mock\MockDatawaveUser.java,1,1,26,0,26,0,2096
NationalSecurityAgency/datawave-authorization-service,service\src\main\java\datawave\microservice\authorization\oauth\AuthorizationRequest.java,7,2,62,19,81,1406,689
NationalSecurityAgency/datawave-authorization-service,service\src\main\java\datawave\microservice\authorization\oauth\AuthorizedClient.java,4,2,38,3,41,1406,689
NationalSecurityAgency/datawave-authorization-service,service\src\main\java\datawave\microservice\authorization\oauth\OAuthProperties.java,2,2,69,6,75,1018,1077
NationalSecurityAgency/datawave-authorization-service,service\src\test\java\datawave\microservice\authorization\OAuthOperationsTest.java,1,1,526,0,526,0,2096
NationalSecurityAgency/datawave-authorization-service,api\src\main\java\datawave\security\authorization\DatawaveUserV1.java,1,1,20,0,20,0,2075
NationalSecurityAgency/datawave-authorization-service,service\src\main\java\datawave\microservice\authorization\AuthorizationOperationsV1.java,12,5,239,151,390,1325,749
NationalSecurityAgency/datawave-authorization-service,service\src\main\java\datawave\microservice\authorization\AuthorizationOperationsV2.java,11,5,168,85,253,1325,749
NationalSecurityAgency/datawave-authorization-service,service\src\main\java\datawave\microservice\authorization\OAuthOperationsV2.java,9,3,84,90,174,997,1077
NationalSecurityAgency/datawave-authorization-service,service\src\test\java\datawave\microservice\authorization\AuthorizationServiceV1Test.java,11,4,369,149,518,1325,749
NationalSecurityAgency/datawave-authorization-service,service\src\test\java\datawave\microservice\authorization\AuthorizationServiceV2Test.java,11,5,99,151,250,1325,749
NationalSecurityAgency/datawave-authorization-service,service\src\test\java\datawave\microservice\authorization\OAuthOperationsV2Test.java,1,1,6,6,12,0,2075
NationalSecurityAgency/datawave-authorization-service,service\src\main\java\datawave\microservice\authorization\config\AuthorizationAllowedCallersFilter.java,3,2,44,7,51,986,1077
NationalSecurityAgency/datawave-authorization-service,service\src\main\java\datawave\microservice\authorization\datawave\microservice\authorization\preauth\AuthorizationProxiedEntityPreauthPrincipal.java,1,1,22,0,22,0,1979
NationalSecurityAgency/datawave-authorization-service,service\src\main\java\datawave\microservice\authorization\datawave\microservice\authorization\preauth\AuthorizationProxiedEntityX509Filter.java,1,1,25,0,25,0,1979
NationalSecurityAgency/datawave-authorization-service,service\src\test\java\datawave\microservice\authorization\AuthorizationTestUserService.java,2,2,97,11,108,902,1077
NationalSecurityAgency/datawave-authorization-service,service\src\test\java\datawave\microservice\authorization\AuthorizationTestUtils.java,6,3,124,22,146,902,1077
NationalSecurityAgency/datawave-authorization-service,service\src\test\java\datawave\microservice\authorization\AuthorizeHttpTest.java,10,4,201,30,231,1230,749
NationalSecurityAgency/datawave-authorization-service,service\src\test\java\datawave\microservice\authorization\AuthorizeHttpsAllowedCallerTest.java,8,4,115,18,133,1230,749
NationalSecurityAgency/datawave-authorization-service,service\src\test\java\datawave\microservice\authorization\AuthorizeHttpsNotAllowedCallerTest.java,8,4,116,18,134,1230,749
NationalSecurityAgency/datawave-authorization-service,service\src\test\java\datawave\microservice\authorization\OAuthOperationsV2HttpTest.java,3,3,121,8,129,902,1077
NationalSecurityAgency/datawave-authorization-service,service\src\test\java\datawave\microservice\authorization\OAuthOperationsV2HttpsTest.java,3,3,124,8,132,902,1077
NationalSecurityAgency/datawave-authorization-service,service\src\test\java\datawave\microservice\authorization\OAuthOperationsV2TestCommon.java,9,3,271,325,596,902,1077
NationalSecurityAgency/datawave-authorization-service,service\src\main\java\datawave\microservice\authorization\config\CachingConfigurer.java,2,2,59,1,60,162,1452
NationalSecurityAgency/datawave-authorization-service,service\src\test\java\datawave\microservice\authorization\config\CachingConfigurerTest.java,7,4,281,27,308,866,749
NationalSecurityAgency/datawave-authorization-service,service\src\main\java\datawave\microservice\authorization\config\AuthorizationsListSupplier.java,3,2,19,19,38,786,749
NationalSecurityAgency/datawave-authorization-service,service\src\test\java\datawave\microservice\authorization\ProxiedEntityUserDetailsServiceTest.java,6,3,285,45,330,445,1077
NationalSecurityAgency/datawave-authorization-service,service\src\main\java\datawave\microservice\authorization\AuthorizationControllerV1.java,6,2,210,23,233,788,664
NationalSecurityAgency/datawave-authorization-service,service\src\main\java\datawave\microservice\authorization\AuthorizationControllerV2.java,6,2,209,22,231,788,664
NationalSecurityAgency/datawave-authorization-service,service\src\main\java\datawave\microservice\authorization\OAuthControllerV2.java,4,1,105,18,123,375,1077
NationalSecurityAgency/datawave-authorization-service,api\src\main\java\datawave\security\authorization\oauth\OAuthConstants.java,1,1,1,1,2,0,1397
NationalSecurityAgency/datawave-authorization-service,api\src\main\java\datawave\security\authorization\oauth\OAuthTokenResponse.java,2,1,4,4,8,320,1077
NationalSecurityAgency/datawave-authorization-service,api\src\main\java\datawave\security\authorization\oauth\OAuthUserInfo.java,2,1,6,3,9,320,1077
NationalSecurityAgency/datawave-authorization-service,api\src\main\resources\source-templates\datawave\security\authorization\oauth\package-info.java,1,1,6,0,6,0,1397
NationalSecurityAgency/datawave-authorization-service,api\src\main\java\datawave\security\authorization\ProxiedDatawaveUser.java,1,1,19,0,19,0,1271
NationalSecurityAgency/datawave-authorization-service,api\src\main\java\datawave\security\authorization\ProxiedUserDetails.java,3,1,5,1,6,152,1111
NationalSecurityAgency/datawave-authorization-service,service\src\main\java\datawave\microservice\authorization\preauth\AuthorizationProxiedEntityPreauthPrincipal.java,2,1,4,4,8,89,1077
NationalSecurityAgency/datawave-authorization-service,service\src\main\java\datawave\microservice\authorization\preauth\AuthorizationProxiedEntityX509Filter.java,2,1,3,5,8,89,1077
NationalSecurityAgency/datawave-authorization-service,api\src\main\java\datawave\security\authorization\predicate\AuthorizationsPredicate.java,1,1,53,0,53,0,749
NationalSecurityAgency/datawave-query-service,api\src\main\java\datawave\microservice\query\DefaultQueryParameters.java,1,1,631,0,631,0,749
NationalSecurityAgency/datawave-query-service,api\src\main\java\datawave\microservice\query\Query.java,1,1,167,0,167,0,749
