repository,file,secret_type,line_number,detected_by
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Rust/src/test/java/ghidra/app/plugin/core/analysis/rust/demangler/RustDemanglerV0Test.java,Base64 High Entropy String,31,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,268,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,424,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GhidraServer/src/main/java/ghidra/server/UserManager.java,Secret Keyword,47,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Base/src/test.slow/java/ghidra/app/plugin/core/checksums/ComputeChecksumsPluginTest.java,Hex High Entropy String,248,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GnuDemangler/src/test/java/ghidra/app/util/demangler/GnuDemanglerParserTest.java,Base64 High Entropy String,1999,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,96,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GnuDemangler/src/test/java/ghidra/app/util/demangler/GnuDemanglerParserTest.java,Base64 High Entropy String,1193,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Rust/src/test/java/ghidra/app/plugin/core/analysis/rust/demangler/RustDemanglerV0Test.java,Base64 High Entropy String,288,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Base/src/main/java/ghidra/app/plugin/core/string/translate/libretranslate/LibreTranslatePlugin.java,Secret Keyword,53,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BytePatterns/data/test/FileBitPatternInfoReaderTestFile2.xml,Hex High Entropy String,875,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Rust/src/test/java/ghidra/app/plugin/core/analysis/rust/demangler/RustDemanglerV0Test.java,Base64 High Entropy String,37,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,454,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Rust/src/test/java/ghidra/app/plugin/core/analysis/rust/demangler/RustDemanglerV0Test.java,Base64 High Entropy String,327,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GnuDemangler/src/test/java/ghidra/app/util/demangler/GnuDemanglerParserTest.java,Base64 High Entropy String,1919,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GnuDemangler/src/test/java/ghidra/app/util/demangler/GnuDemanglerParserTest.java,Base64 High Entropy String,2269,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Rust/src/test/java/ghidra/app/plugin/core/analysis/rust/demangler/RustDemanglerV0Test.java,Base64 High Entropy String,303,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Decompiler/src/test.slow/java/ghidra/app/plugin/core/decompile/DecompilerSwitchAnalyzerTest.java,Hex High Entropy String,108,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Decompiler/src/test.slow/java/ghidra/app/plugin/core/decompile/DecompilerSwitchAnalyzerTest.java,Hex High Entropy String,112,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Rust/src/test/java/ghidra/app/plugin/core/analysis/rust/demangler/RustDemanglerV0Test.java,Base64 High Entropy String,38,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BytePatterns/data/test/FileBitPatternInfoReaderTestFile2.xml,Hex High Entropy String,73,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Processors/HCS12/data/languages/HC12.pspec,Base64 High Entropy String,67,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Processors/PowerPC/src/test/java/ghidra/program/emulation/PpcPcodeUseropLibraryTest.java,Hex High Entropy String,66,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Test/IntegrationTest/src/test.slow/java/ghidra/program/database/sourcemap/SourceFileTest.java,Hex High Entropy String,241,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,286,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Base/src/main/java/ghidra/app/util/datatype/microsoft/GUID.java,Hex High Entropy String,61,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Rust/src/test/java/ghidra/app/plugin/core/analysis/rust/demangler/RustDemanglerV0Test.java,Base64 High Entropy String,223,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GnuDemangler/src/test/java/ghidra/app/util/demangler/GnuDemanglerParserTest.java,Base64 High Entropy String,1555,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,226,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GnuDemangler/src/test/java/ghidra/app/util/demangler/GnuDemanglerParserTest.java,Base64 High Entropy String,406,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,382,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,358,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/PDB/src/test/java/ghidra/app/util/bin/format/pdb2/pdbreader/PdbByteWriterReaderTest.java,Hex High Entropy String,76,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Rust/src/test/java/ghidra/app/plugin/core/analysis/rust/demangler/RustDemanglerV0Test.java,Base64 High Entropy String,29,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Rust/src/test/java/ghidra/app/plugin/core/analysis/rust/demangler/RustDemanglerV0Test.java,Base64 High Entropy String,306,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BytePatterns/data/test/FileBitPatternInfoReaderTestFile2.xml,Hex High Entropy String,475,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GnuDemangler/src/test/java/ghidra/app/util/demangler/GnuDemanglerParserTest.java,Base64 High Entropy String,1638,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Rust/src/test/java/ghidra/app/plugin/core/analysis/rust/demangler/RustDemanglerV0Test.java,Base64 High Entropy String,33,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GnuDemangler/src/test/java/ghidra/app/util/demangler/GnuDemanglerParserTest.java,Base64 High Entropy String,2155,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GhidraServer/src/main/java/ghidra/server/security/AuthenticationModule.java,Secret Keyword,28,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BytePatterns/data/test/FileBitPatternInfoReaderTestFile2.xml,Hex High Entropy String,741,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Test/IntegrationTest/src/test.slow/java/ghidra/program/database/sourcemap/SourceFileTest.java,Hex High Entropy String,541,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GhidraServer/src/main/java/ghidra/server/security/loginmodule/ExternalProgramLoginModule.java,Secret Keyword,55,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BytePatterns/data/test/FileBitPatternInfoReaderTestFile1.xml,Hex High Entropy String,808,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BSim/src/main/help/help/topics/BSim/CommandLineReference.html,Basic Auth Credentials,858,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Base/src/main/java/ghidra/formats/gfilesystem/crypto/CmdLinePasswordProvider.java,Secret Keyword,51,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,146,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Rust/src/test/java/ghidra/app/plugin/core/analysis/rust/demangler/RustDemanglerV0Test.java,Base64 High Entropy String,30,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,256,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,412,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,388,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Test/IntegrationTest/src/test.slow/java/ghidra/server/remote/SSHKeyUtil.java,Private Key,182,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GnuDemangler/src/test/java/ghidra/app/util/demangler/GnuDemanglerParserTest.java,Base64 High Entropy String,715,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Base/src/test.slow/java/ghidra/app/plugin/core/checksums/ComputeChecksumsPluginTest.java,Hex High Entropy String,247,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GnuDemangler/src/test/java/ghidra/app/util/demangler/GnuDemanglerParserTest.java,Base64 High Entropy String,620,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GnuDemangler/src/test/java/ghidra/app/plugin/core/analysis/GnuDemanglerAnalyzerTest.java,Base64 High Entropy String,117,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Base/src/test/java/ghidra/app/util/bin/format/dwarf/external/HttpDebugInfoDProviderTest.java,Hex High Entropy String,182,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BytePatterns/data/test/FileBitPatternInfoReaderTestFile2.xml,Hex High Entropy String,540,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Base/src/test.slow/java/ghidra/program/database/symbol/SymbolManagerTest.java,Base64 High Entropy String,962,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BytePatterns/data/test/FileBitPatternInfoReaderTestFile1.xml,Hex High Entropy String,6,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Base/src/test.slow/java/ghidra/app/util/viewer/field/LabelFieldFactoryTest.java,Base64 High Entropy String,326,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GnuDemangler/src/test/java/ghidra/app/util/demangler/GnuDemanglerParserTest.java,Base64 High Entropy String,664,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,244,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GhidraServer/src/main/java/ghidra/server/security/loginmodule/ExternalProgramLoginModule.java,Secret Keyword,85,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Rust/src/test/java/ghidra/app/plugin/core/analysis/rust/demangler/RustDemanglerV0Test.java,Base64 High Entropy String,25,detect-secrets
NationalSecurityAgency/ghidra,Ghidra/Features/BSim/src/main/help/help/topics/BSim/DatabaseConfiguration.html,curl-auth-user,672,gitleaks
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BSim/src/main/java/ghidra/features/bsim/query/BSimControlLaunchable.java,Secret Keyword,555,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Rust/src/test/java/ghidra/app/plugin/core/analysis/rust/demangler/RustDemanglerV0Test.java,Base64 High Entropy String,36,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,442,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Rust/src/test/java/ghidra/app/plugin/core/analysis/rust/demangler/RustDemanglerV0Test.java,Base64 High Entropy String,315,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Rust/src/test/java/ghidra/app/plugin/core/analysis/rust/demangler/RustDemanglerV0Test.java,Base64 High Entropy String,291,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/FileFormats/src/test/java/ghidra/file/formats/cart/CartV1TestConstants.java,Hex High Entropy String,180,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GnuDemangler/src/test/java/ghidra/app/util/demangler/GnuDemanglerParserTest.java,Base64 High Entropy String,2028,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Test/IntegrationTest/src/test/java/pdb/symbolserver/SymbolServerService2Test.java,Hex High Entropy String,50,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GnuDemangler/src/test/java/ghidra/app/util/demangler/GnuDemanglerParserTest.java,Base64 High Entropy String,1766,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GnuDemangler/src/test/java/ghidra/app/util/demangler/GnuDemanglerParserTest.java,Base64 High Entropy String,388,detect-secrets
NationalSecurityAgency/ghidra,Ghidra/Features/Base/data/typeinfo/win32/msvcrt/iids.txt,square-access-token,13849,gitleaks
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,316,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BytePatterns/data/test/FileBitPatternInfoReaderTestFile1.xml,Hex High Entropy String,408,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Rust/src/test/java/ghidra/app/plugin/core/analysis/rust/demangler/RustDemanglerV0Test.java,Base64 High Entropy String,121,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BytePatterns/data/test/FileBitPatternInfoReaderTestFile1.xml,Hex High Entropy String,542,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,274,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BSim/src/test.slow/java/ghidra/features/bsim/gui/search/dialog/BSimFilterPanelTest.java,Hex High Entropy String,135,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Processors/M8C/data/languages/m8c.pspec,Base64 High Entropy String,69,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Processors/HCS12/data/languages/HCS12.pspec,Base64 High Entropy String,86,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Rust/src/test/java/ghidra/app/plugin/core/analysis/rust/demangler/RustDemanglerLegacyTest.java,Base64 High Entropy String,33,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Rust/src/test/java/ghidra/app/plugin/core/analysis/rust/demangler/RustDemanglerV0Test.java,Base64 High Entropy String,321,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BytePatterns/data/test/FileBitPatternInfoReaderTestFile2.xml,Hex High Entropy String,274,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GnuDemangler/src/test/java/ghidra/app/util/demangler/GnuDemanglerParserTest.java,Base64 High Entropy String,1424,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,115,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Decompiler/src/test.slow/java/ghidra/app/plugin/core/decompile/DecompilerSwitchAnalyzerTest.java,Hex High Entropy String,115,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GnuDemangler/src/test/java/ghidra/app/util/demangler/GnuDemanglerParserTest.java,Base64 High Entropy String,2062,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Rust/src/test/java/ghidra/app/plugin/core/analysis/rust/demangler/RustDemanglerV0Test.java,Base64 High Entropy String,109,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,346,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,370,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Framework/Generic/src/main/java/ghidra/net/DefaultKeyManagerFactory.java,Secret Keyword,61,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Rust/src/test/java/ghidra/app/plugin/core/analysis/rust/demangler/RustDemanglerV0Test.java,Base64 High Entropy String,283,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Rust/src/test/java/ghidra/app/plugin/core/analysis/rust/demangler/RustDemanglerV0Test.java,Base64 High Entropy String,32,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,176,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GnuDemangler/src/test/java/ghidra/app/util/demangler/GnuDemanglerParserTest.java,Base64 High Entropy String,1535,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,202,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GnuDemangler/src/test/java/ghidra/app/util/demangler/GnuDemanglerParserTest.java,Base64 High Entropy String,265,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BytePatterns/data/test/FileBitPatternInfoReaderTestFile2.xml,Hex High Entropy String,676,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BytePatterns/data/test/FileBitPatternInfoReaderTestFile2.xml,Hex High Entropy String,808,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Decompiler/src/test.slow/java/ghidra/app/plugin/core/decompile/DecompilerSwitchAnalyzerTest.java,Hex High Entropy String,107,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Processors/HCS12/data/languages/HCS12X.pspec,Base64 High Entropy String,88,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BytePatterns/data/test/FileBitPatternInfoReaderTestFile2.xml,Hex High Entropy String,942,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,376,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,400,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GnuDemangler/src/test/java/ghidra/app/util/demangler/GnuDemanglerParserTest.java,Base64 High Entropy String,1220,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GnuDemangler/src/test/java/ghidra/app/util/demangler/GnuDemanglerParserTest.java,Base64 High Entropy String,2120,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GhidraServer/src/main/java/ghidra/server/UserManager.java,Secret Keyword,53,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BytePatterns/data/test/FileBitPatternInfoReaderTestFile2.xml,Hex High Entropy String,4,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GnuDemangler/src/test/java/ghidra/app/util/demangler/GnuDemanglerParserTest.java,Base64 High Entropy String,1299,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GnuDemangler/src/test/java/ghidra/app/util/demangler/GnuDemanglerParserTest.java,Base64 High Entropy String,1671,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,472,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,232,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Decompiler/src/test.slow/java/ghidra/app/plugin/core/decompile/DecompilerSwitchAnalyzerTest.java,Hex High Entropy String,111,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GnuDemangler/src/test/java/ghidra/app/util/demangler/GnuDemanglerParserTest.java,Base64 High Entropy String,2082,detect-secrets
NationalSecurityAgency/ghidra,Ghidra/Features/FileFormats/src/main/java/ghidra/file/formats/ios/apple8900/Apple8900Constants.java,generic-api-key,32,gitleaks
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Base/src/test/java/ghidra/formats/gfilesystem/FileCacheTest.java,Hex High Entropy String,205,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GnuDemangler/src/test/java/ghidra/app/util/demangler/GnuDemanglerParserTest.java,Base64 High Entropy String,680,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,430,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BytePatterns/data/test/FileBitPatternInfoReaderTestFile1.xml,Hex High Entropy String,207,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Rust/src/test/java/ghidra/app/plugin/core/analysis/rust/demangler/RustDemanglerV0Test.java,Base64 High Entropy String,39,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BytePatterns/data/test/FileBitPatternInfoReaderTestFile1.xml,Hex High Entropy String,473,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Base/src/main/java/ghidra/app/util/bin/format/golang/GoBuildInfo.java,Hex High Entropy String,57,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,328,detect-secrets
NationalSecurityAgency/ghidra,Ghidra/Features/Base/data/typeinfo/win32/msvcrt/iids.txt,square-access-token,13848,gitleaks
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Test/IntegrationTest/src/test.slow/java/ghidra/program/database/sourcemap/MappingSourceFilesTest.java,Hex High Entropy String,940,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,304,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Decompiler/src/test.slow/java/ghidra/app/plugin/core/decompile/DecompilerSwitchAnalyzerTest.java,Hex High Entropy String,103,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,262,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/GnuDemangler/src/test/java/ghidra/app/util/demangler/GnuDemanglerParserTest.java,Base64 High Entropy String,2101,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BSim/src/main/java/ghidra/features/bsim/query/BSimControlLaunchable.java,Secret Keyword,56,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Test/IntegrationTest/src/test.slow/java/ghidra/program/database/sourcemap/SourceFileTest.java,Hex High Entropy String,232,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Rust/src/test/java/ghidra/app/plugin/core/analysis/rust/demangler/RustDemanglerV0Test.java,Base64 High Entropy String,309,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BytePatterns/data/test/FileBitPatternInfoReaderTestFile1.xml,Hex High Entropy String,743,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BytePatterns/data/test/FileBitPatternInfoReaderTestFile1.xml,Hex High Entropy String,875,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Rust/src/test/java/ghidra/app/plugin/core/analysis/rust/demangler/RustDemanglerV0Test.java,Base64 High Entropy String,324,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/gradle/support/fetchDependencies.gradle,Hex High Entropy String,334,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/BytePatterns/data/test/FileBitPatternInfoReaderTestFile2.xml,Hex High Entropy String,341,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Features/Base/src/test.slow/java/ghidra/app/plugin/core/checksums/ComputeChecksumsPluginTest.java,Hex High Entropy String,246,detect-secrets
NationalSecurityAgency/ghidra,repos/NationalSecurityAgency__ghidra/Ghidra/Processors/PowerPC/src/test/java/ghidra/program/emulation/PpcPcodeUseropLibraryTest.java,Hex High Entropy String,83,detect-secrets
