repository,file,commits,avg_ccn,hotspot_score
elastic/elasticsearch,x-pack/plugin/esql/qa/testFixtures/src/main/java/org/elasticsearch/xpack/esql/EsqlTestUtils.java,152,2.1560283687943262,327.7163120567376
spring-projects/spring-framework,spring-webmvc/src/main/java/org/springframework/web/servlet/config/AnnotationDrivenBeanDefinitionParser.java,93,3.52,327.36
elastic/elasticsearch,server/src/main/java/org/elasticsearch/action/admin/cluster/state/TransportClusterStateAction.java,54,6.0,324.0
elastic/elasticsearch,x-pack/plugin/esql/qa/testFixtures/src/main/java/org/elasticsearch/xpack/esql/CsvAssert.java,48,6.7272727272727275,322.90909090909093
elastic/elasticsearch,modules/percolator/src/main/java/org/elasticsearch/percolator/PercolateQueryBuilder.java,123,2.6176470588235294,321.97058823529414
elastic/elasticsearch,server/src/main/java/org/elasticsearch/index/mapper/FieldMapper.java,152,2.1130434782608694,321.18260869565216
spring-projects/spring-framework,spring-websocket/src/main/java/org/springframework/web/socket/config/MessageBrokerBeanDefinitionParser.java,81,3.9565217391304346,320.4782608695652
spring-projects/spring-framework,spring-jdbc/src/main/java/org/springframework/jdbc/core/metadata/CallMetaDataProviderFactory.java,32,10.0,320.0
spring-projects/spring-framework,spring-core/src/main/java/org/springframework/util/MimeTypeUtils.java,68,4.7,319.6
elastic/elasticsearch,server/src/test/java/org/elasticsearch/action/search/SearchPhaseControllerTests.java,89,3.5675675675675675,317.5135135135135
elastic/elasticsearch,server/src/main/java/org/elasticsearch/index/mapper/TypeParsers.java,48,6.6,316.79999999999995
spring-projects/spring-framework,spring-context/src/main/java/org/springframework/scheduling/annotation/ScheduledAnnotationBeanPostProcessor.java,96,3.2962962962962963,316.44444444444446
elastic/elasticsearch,server/src/main/java/org/elasticsearch/index/mapper/GeoPointFieldMapper.java,130,2.4130434782608696,313.69565217391306
spring-projects/spring-framework,spring-webmvc/src/main/java/org/springframework/web/servlet/mvc/method/annotation/RequestMappingHandlerMapping.java,117,2.65625,310.78125
elastic/elasticsearch,x-pack/plugin/esql/qa/server/multi-clusters/src/javaRestTest/java/org/elasticsearch/xpack/esql/ccq/MultiClusterSpecIT.java,132,2.347826086956522,309.9130434782609
elastic/elasticsearch,x-pack/plugin/esql/src/test/java/org/elasticsearch/xpack/esql/action/EsqlQueryResponseTests.java,92,3.3636363636363638,309.45454545454544
spring-projects/spring-framework,spring-webmvc/src/main/java/org/springframework/web/servlet/mvc/method/annotation/HttpEntityMethodProcessor.java,76,4.071428571428571,309.4285714285714
elastic/elasticsearch,server/src/test/java/org/elasticsearch/search/aggregations/bucket/terms/TermsAggregatorTests.java,118,2.621212121212121,309.3030303030303
elastic/elasticsearch,x-pack/plugin/esql/compute/gen/src/main/java/org/elasticsearch/compute/gen/GroupingAggregatorImplementer.java,73,4.225806451612903,308.4838709677419
spring-projects/spring-framework,spring-orm/src/main/java/org/springframework/orm/jpa/SharedEntityManagerCreator.java,57,5.411764705882353,308.47058823529414
spring-projects/spring-framework,spring-expression/src/main/java/org/springframework/expression/spel/support/ReflectiveMethodResolver.java,44,7.0,308.0
elastic/elasticsearch,x-pack/plugin/esql/qa/server/src/main/java/org/elasticsearch/xpack/esql/qa/rest/EsqlSpecTestCase.java,135,2.2790697674418605,307.6744186046512
elastic/elasticsearch,server/src/test/java/org/elasticsearch/index/mapper/vectors/DenseVectorFieldMapperTests.java,144,2.1363636363636362,307.6363636363636
spring-projects/spring-framework,spring-websocket/src/main/java/org/springframework/web/socket/messaging/StompSubProtocolHandler.java,104,2.953488372093023,307.1627906976744
spring-projects/spring-framework,spring-messaging/src/main/java/org/springframework/messaging/simp/stomp/StompBrokerRelayMessageHandler.java,122,2.513157894736842,306.60526315789474
elastic/elasticsearch,server/src/main/java/org/elasticsearch/node/NodeConstruction.java,203,1.5098039215686274,306.4901960784314
spring-projects/spring-framework,spring-web/src/main/java/org/springframework/http/converter/FormHttpMessageConverter.java,102,3.0,306.0
elastic/elasticsearch,server/src/test/java/org/elasticsearch/cluster/metadata/DataStreamTests.java,129,2.3645833333333335,305.03125
elastic/elasticsearch,server/src/main/java/org/elasticsearch/cluster/SnapshotsInProgress.java,122,2.5,305.0
NationalSecurityAgency/ghidra,Ghidra/Features/Base/src/main/java/ghidra/app/util/bin/format/macho/commands/LoadCommandFactory.java,10,30.5,305.0
spring-projects/spring-framework,spring-websocket/src/main/java/org/springframework/web/socket/sockjs/transport/TransportHandlingSockJsService.java,60,5.066666666666666,304.0
spring-projects/spring-framework,spring-web/src/main/java/org/springframework/http/ContentDisposition.java,74,4.096774193548387,303.1612903225806
spring-projects/spring-framework,spring-test/src/main/java/org/springframework/test/context/transaction/TransactionalTestExecutionListener.java,74,4.090909090909091,302.72727272727275
elastic/elasticsearch,server/src/main/java/org/elasticsearch/transport/TransportService.java,162,1.864,301.968
spring-projects/spring-framework,spring-web/src/main/java/org/springframework/web/util/HierarchicalUriComponents.java,98,3.075,301.35
spring-projects/spring-framework,spring-test/src/main/java/org/springframework/test/context/support/ActiveProfilesUtils.java,25,12.0,300.0
elastic/elasticsearch,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/plugin/TransportEsqlQueryAction.java,147,2.037037037037037,299.44444444444446
spring-projects/spring-framework,spring-webmvc/src/main/java/org/springframework/web/servlet/config/ResourcesBeanDefinitionParser.java,52,5.75,299.0
elastic/elasticsearch,server/src/main/java/org/elasticsearch/bootstrap/Elasticsearch.java,113,2.6296296296296298,297.14814814814815
elastic/elasticsearch,server/src/main/java/org/elasticsearch/cluster/metadata/MetadataIndexStateService.java,81,3.6666666666666665,297.0
elastic/elasticsearch,server/src/main/java/org/elasticsearch/index/IndexMode.java,70,4.217391304347826,295.2173913043478
elastic/elasticsearch,server/src/main/java/org/elasticsearch/action/admin/indices/template/post/TransportSimulateIndexTemplateAction.java,83,3.5555555555555554,295.1111111111111
elastic/elasticsearch,x-pack/plugin/esql/qa/server/single-node/src/javaRestTest/java/org/elasticsearch/xpack/esql/qa/single_node/RestEsqlIT.java,87,3.391304347826087,295.04347826086956
spring-projects/spring-framework,spring-webmvc/src/main/java/org/springframework/web/servlet/config/annotation/WebMvcConfigurationSupport.java,168,1.7536231884057971,294.60869565217394
elastic/elasticsearch,x-pack/plugin/esql/src/main/java/org/elasticsearch/xpack/esql/planner/AggregateMapper.java,76,3.875,294.5
spring-projects/spring-framework,spring-core/src/main/java/org/springframework/util/ReflectionUtils.java,83,3.5476190476190474,294.45238095238096
elastic/elasticsearch,test/framework/src/main/java/org/elasticsearch/index/shard/IndexShardTestCase.java,209,1.4074074074074074,294.14814814814815
NationalSecurityAgency/ghidra,Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/database/data/StructureDB.java,50,5.866666666666666,293.3333333333333
elastic/elasticsearch,plugins/repository-hdfs/src/main/java/org/elasticsearch/repositories/hdfs/HdfsRepository.java,57,5.142857142857143,293.14285714285717
elastic/elasticsearch,server/src/main/java/org/elasticsearch/action/bulk/TransportShardBulkAction.java,123,2.3793103448275863,292.65517241379314
spring-projects/spring-framework,spring-test/src/main/java/org/springframework/test/context/support/AbstractTestContextBootstrapper.java,76,3.85,292.6
NationalSecurityAgency/ghidra,Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/pcode/PcodeDataTypeManager.java,50,5.833333333333333,291.66666666666663
elastic/elasticsearch,x-pack/plugin/ccr/src/main/java/org/elasticsearch/xpack/ccr/action/ShardFollowTasksExecutor.java,95,3.0526315789473686,290.0
elastic/elasticsearch,server/src/main/java/org/elasticsearch/repositories/RepositoriesService.java,106,2.6956521739130435,285.7391304347826
elastic/elasticsearch,server/src/main/java/org/elasticsearch/cluster/routing/allocation/DiskThresholdMonitor.java,53,5.363636363636363,284.27272727272725
elastic/elasticsearch,server/src/test/java/org/elasticsearch/cluster/coordination/CoordinatorTests.java,177,1.6,283.2
elastic/elasticsearch,server/src/main/java/org/elasticsearch/index/mapper/RootObjectMapper.java,96,2.9375,282.0
elastic/elasticsearch,server/src/test/java/org/elasticsearch/repositories/blobstore/BlobStoreRepositoryRestoreTests.java,47,6.0,282.0
elastic/elasticsearch,test/framework/src/main/java/org/elasticsearch/index/mapper/MapperTestCase.java,180,1.5661764705882353,281.9117647058824
spring-projects/spring-framework,spring-web/src/main/java/org/springframework/http/HttpHeaders.java,180,1.5595238095238095,280.7142857142857
spring-projects/spring-framework,spring-aop/src/main/java/org/springframework/aop/framework/CglibAopProxy.java,83,3.357142857142857,278.64285714285717
elastic/elasticsearch,x-pack/plugin/esql/compute/src/test/java/org/elasticsearch/compute/OperatorTests.java,95,2.9285714285714284,278.2142857142857
elastic/elasticsearch,server/src/main/java/org/elasticsearch/TransportVersion.java,139,2.0,278.0
elastic/elasticsearch,x-pack/plugin/ccr/src/main/java/org/elasticsearch/xpack/ccr/action/AutoFollowCoordinator.java,98,2.823529411764706,276.7058823529412
spring-projects/spring-framework,spring-expression/src/main/java/org/springframework/expression/spel/ast/MethodReference.java,72,3.8260869565217392,275.47826086956525
elastic/elasticsearch,server/src/main/java/org/elasticsearch/index/mapper/DocumentMapper.java,105,2.6153846153846154,274.61538461538464
elastic/elasticsearch,server/src/main/java/org/elasticsearch/cluster/routing/allocation/decider/DiskThresholdDecider.java,62,4.428571428571429,274.5714285714286
termux/termux-app,terminal-emulator/src/main/java/com/termux/terminal/TerminalEmulator.java,33,8.253164556962025,272.3544303797468
elastic/elasticsearch,server/src/main/java/org/elasticsearch/env/NodeEnvironment.java,96,2.8219178082191783,270.9041095890411
spring-projects/spring-framework,spring-beans/src/main/java/org/springframework/beans/factory/support/DisposableBeanAdapter.java,58,4.666666666666667,270.6666666666667
elastic/elasticsearch,server/src/main/java/org/elasticsearch/cluster/metadata/MetadataUpdateSettingsService.java,58,4.666666666666667,270.6666666666667
elastic/elasticsearch,x-pack/plugin/esql/compute/src/test/java/org/elasticsearch/compute/data/BasicBlockTests.java,76,3.5591397849462365,270.494623655914
spring-projects/spring-framework,spring-aop/src/main/java/org/springframework/aop/framework/DefaultAopProxyFactory.java,27,10.0,270.0
spring-projects/spring-framework,spring-core/src/main/java/org/springframework/util/ObjectUtils.java,67,4.024390243902439,269.6341463414634
spring-projects/spring-framework,spring-beans/src/main/java/org/springframework/beans/CachedIntrospectionResults.java,56,4.8125,269.5
spring-projects/spring-framework,spring-expression/src/main/java/org/springframework/expression/spel/CodeFlow.java,57,4.723404255319149,269.2340425531915
NationalSecurityAgency/ghidra,Ghidra/Framework/SoftwareModeling/src/main/java/ghidra/program/model/pcode/HighFunctionDBUtil.java,33,8.136363636363637,268.5
elastic/elasticsearch,x-pack/plugin/core/src/main/java/org/elasticsearch/xpack/core/security/authc/Authentication.java,103,2.6055045871559632,268.3669724770642
spring-projects/spring-framework,spring-jms/src/main/java/org/springframework/jms/config/JmsListenerContainerParser.java,23,11.666666666666666,268.3333333333333
NationalSecurityAgency/ghidra,Ghidra/Features/Base/src/main/java/ghidra/app/util/headless/HeadlessAnalyzer.java,45,5.961538461538462,268.2692307692308
elastic/elasticsearch,test/framework/src/main/java/org/elasticsearch/cluster/coordination/AbstractCoordinatorTestCase.java,138,1.9281045751633987,266.078431372549
spring-projects/spring-framework,spring-beans/src/main/java/org/springframework/beans/factory/support/DefaultSingletonBeanRegistry.java,77,3.4545454545454546,266.0
spring-projects/spring-framework,spring-tx/src/main/java/org/springframework/transaction/interceptor/TransactionAspectSupport.java,95,2.7966101694915255,265.67796610169495
spring-projects/spring-framework,spring-core/src/main/java/org/springframework/core/MethodParameter.java,100,2.6451612903225805,264.51612903225805
